ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
16618,Yes,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Self employed
16619,No,Rural,Yes,8,19,Male,Child,Single/Never Married,Primary education,Informally employed
16620,No,Urban,No,3,50,Female,Spouse,Single/Never Married,Primary education,Self employed
16621,No,Urban,Yes,4,25,Female,Parent,Single/Never Married,Secondary education,Self employed
16622,No,Rural,Yes,8,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16623,No,Rural,Yes,9,46,Female,Spouse,Married/Living together,Primary education,Informally employed
16624,Yes,Urban,Yes,4,43,Female,Spouse,Married/Living together,Tertiary education,Formally employed Private
16625,No,Rural,Yes,1,24,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
16626,No,Urban,Yes,1,49,Female,Head of Household,Single/Never Married,No formal education,Self employed
16627,No,Urban,Yes,4,53,Female,Spouse,Single/Never Married,Primary education,Self employed
16628,No,Urban,Yes,5,23,Female,Child,Divorced/Seperated,Secondary education,Remittance Dependent
16629,No,Urban,Yes,2,22,Female,Spouse,Married/Living together,Primary education,No Income
16630,Yes,Rural,Yes,5,51,Female,Spouse,Married/Living together,Secondary education,Informally employed
16631,No,Urban,Yes,2,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
16632,No,Urban,No,3,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
16633,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
16634,No,Rural,Yes,6,30,Female,Spouse,Married/Living together,No formal education,Self employed
16635,No,Urban,Yes,2,21,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
16636,No,Rural,No,5,38,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
16637,No,Urban,No,2,29,Female,Head of Household,Single/Never Married,Primary education,Self employed
16638,No,Rural,No,2,46,Female,Head of Household,Married/Living together,Primary education,Informally employed
16639,No,Rural,Yes,6,19,Female,Child,Single/Never Married,Primary education,Informally employed
16640,No,Urban,No,1,28,Female,Spouse,Single/Never Married,Primary education,No Income
16641,No,Urban,Yes,3,73,Female,Head of Household,Widowed,Primary education,Farming and Fishing
16642,No,Rural,Yes,6,39,Female,Head of Household,Married/Living together,Primary education,Informally employed
16643,No,Rural,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
16644,No,Rural,Yes,2,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16645,No,Urban,No,1,65,Male,Head of Household,Married/Living together,Primary education,No Income
16646,No,Urban,Yes,4,25,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
16647,No,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
16648,Yes,Urban,Yes,9,56,Male,Head of Household,Married/Living together,Primary education,Other Income
16649,No,Rural,Yes,4,35,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
16650,No,Urban,No,2,30,Female,Spouse,Single/Never Married,No formal education,No Income
16651,No,Urban,Yes,6,60,Female,Head of Household,Single/Never Married,Primary education,Other Income
16652,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
16653,No,Rural,Yes,8,16,Female,Child,Single/Never Married,Secondary education,Informally employed
16654,No,Rural,Yes,6,39,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16655,No,Urban,Yes,5,18,Female,Child,Divorced/Seperated,Tertiary education,Formally employed Private
16656,Yes,Urban,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
16657,Yes,Urban,Yes,1,38,Female,Head of Household,Widowed,Primary education,Remittance Dependent
16658,No,Urban,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
16659,No,Urban,Yes,3,23,Female,Head of Household,Single/Never Married,Primary education,Informally employed
16660,No,Urban,No,5,17,Female,Parent,Divorced/Seperated,Primary education,Informally employed
16661,No,Rural,Yes,7,30,Male,Spouse,Married/Living together,Primary education,Formally employed Private
16662,No,Rural,Yes,3,25,Female,Head of Household,Married/Living together,Primary education,Self employed
16663,No,Urban,Yes,3,34,Female,Spouse,Single/Never Married,Primary education,Self employed
16664,No,Rural,No,8,47,Female,Parent,Married/Living together,No formal education,Informally employed
16665,No,Urban,Yes,3,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
16666,Yes,Urban,Yes,6,35,Female,Spouse,Married/Living together,Vocational/Specialised training,Other Income
16667,No,Rural,Yes,3,55,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
16668,No,Rural,No,5,24,Female,Parent,Divorced/Seperated,Secondary education,Self employed
16669,No,Rural,Yes,9,24,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing
16670,No,Rural,Yes,5,24,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16671,Yes,Urban,Yes,2,22,Female,Other non-relatives,Single/Never Married,Secondary education,Formally employed Private
16672,No,Urban,Yes,3,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
16673,No,Rural,Yes,5,32,Female,Head of Household,Widowed,No formal education,Informally employed
16674,No,Rural,Yes,4,64,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16675,Yes,Rural,Yes,2,45,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Government
16676,No,Rural,No,3,59,Male,Other relative,Widowed,Primary education,Informally employed
16677,No,Rural,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16678,No,Urban,No,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
16679,No,Urban,No,1,60,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
16680,No,Rural,No,3,32,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
16681,No,Rural,Yes,6,35,Female,Head of Household,Widowed,No formal education,Remittance Dependent
16682,No,Urban,Yes,1,46,Male,Head of Household,Widowed,Tertiary education,Self employed
16683,No,Rural,No,4,18,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
16684,No,Urban,No,2,18,Female,Spouse,Single/Never Married,Primary education,Self employed
16685,No,Urban,Yes,5,29,Female,Head of Household,Married/Living together,No formal education,Self employed
16686,Yes,Urban,Yes,7,53,Female,Head of Household,Married/Living together,Tertiary education,Self employed
16687,No,Urban,Yes,3,33,Male,Head of Household,Single/Never Married,Secondary education,Self employed
16688,No,Rural,Yes,3,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
16689,No,Rural,No,4,21,Female,Spouse,Married/Living together,Primary education,No Income
16690,Yes,Urban,Yes,2,17,Male,Other relative,Single/Never Married,Secondary education,Other Income
16691,Yes,Rural,Yes,1,35,Female,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
16692,No,Urban,Yes,5,20,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
16693,No,Rural,Yes,5,19,Female,Parent,Divorced/Seperated,Secondary education,Remittance Dependent
16694,No,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16695,Yes,Urban,Yes,1,22,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private
16696,No,Rural,Yes,4,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16697,No,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16698,No,Urban,Yes,2,26,Male,Child,Divorced/Seperated,Primary education,Self employed
16699,No,Urban,Yes,4,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed
16700,No,Urban,Yes,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
16701,No,Rural,Yes,1,46,Female,Head of Household,Married/Living together,Primary education,Self employed
16702,No,Urban,Yes,1,59,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
16703,No,Urban,No,3,16,Male,Child,Divorced/Seperated,Primary education,Informally employed
16704,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
16705,No,Rural,Yes,1,27,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
16706,No,Rural,Yes,4,40,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
16707,No,Rural,Yes,4,62,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
16708,No,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
16709,No,Rural,Yes,4,21,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16710,No,Rural,No,4,95,Female,Spouse,Married/Living together,Primary education,No Income
16711,Yes,Rural,Yes,7,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
16712,No,Urban,No,4,28,Female,Parent,Single/Never Married,Primary education,Self employed
16713,No,Urban,No,3,58,Female,Spouse,Single/Never Married,No formal education,Self employed
16714,No,Rural,Yes,3,48,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
16715,No,Rural,Yes,8,23,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
16716,No,Urban,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
16717,No,Urban,No,3,17,Male,Other relative,Divorced/Seperated,Secondary education,Self employed
16718,No,Rural,Yes,6,54,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
16719,No,Urban,No,4,38,Female,Spouse,Married/Living together,Secondary education,Self employed
16720,No,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Secondary education,Other Income
16721,No,Urban,No,2,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
16722,No,Rural,Yes,7,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16723,No,Urban,Yes,4,45,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16724,Yes,Urban,Yes,6,34,Female,Spouse,Married/Living together,Secondary education,Other Income
16725,No,Rural,Yes,5,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16726,No,Rural,Yes,7,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
16727,No,Urban,Yes,2,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16728,No,Urban,Yes,5,28,Male,Parent,Single/Never Married,Primary education,Self employed
16729,No,Urban,Yes,3,30,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Private
16730,No,Urban,Yes,4,26,Male,Other relative,Single/Never Married,Primary education,Other Income
16731,No,Urban,No,2,18,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16732,No,Rural,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
16733,No,Rural,Yes,3,43,Male,Head of Household,Married/Living together,No formal education,Informally employed
16734,Yes,Urban,Yes,3,21,Male,Head of Household,Single/Never Married,Secondary education,Other Income
16735,No,Urban,Yes,4,45,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
16736,No,Rural,Yes,4,56,Female,Head of Household,Single/Never Married,No formal education,Informally employed
16737,Yes,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Self employed
16738,No,Urban,Yes,3,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
16739,No,Urban,No,2,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
16740,Yes,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Self employed
16741,No,Rural,No,6,33,Female,Parent,Married/Living together,No formal education,Other Income
16742,No,Rural,No,1,60,Male,Head of Household,Married/Living together,Primary education,Self employed
16743,No,Rural,Yes,6,22,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16744,No,Rural,Yes,4,29,Female,Spouse,Married/Living together,Primary education,Self employed
16745,Yes,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16746,No,Urban,Yes,4,29,Female,Spouse,Married/Living together,Secondary education,No Income
16747,Yes,Urban,Yes,6,50,Female,Spouse,Married/Living together,Primary education,Self employed
16748,No,Rural,No,4,20,Female,Spouse,Married/Living together,Primary education,Other Income
16749,No,Rural,Yes,8,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
16750,Yes,Rural,Yes,2,49,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16751,No,Rural,Yes,5,82,Female,Head of Household,Widowed,Primary education,Farming and Fishing
16752,No,Rural,Yes,5,36,Male,Head of Household,Married/Living together,No formal education,Informally employed
16753,No,Urban,No,5,27,Female,Spouse,Married/Living together,Secondary education,Self employed
16754,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Informally employed
16755,No,Urban,No,2,27,Female,Spouse,Single/Never Married,No formal education,No Income
16756,No,Rural,Yes,12,19,Female,Spouse,Married/Living together,Primary education,Other Income
16757,No,Urban,No,4,50,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16758,Yes,Rural,Yes,4,40,Male,Head of Household,Married/Living together,Primary education,Self employed
16759,No,Rural,Yes,7,44,Female,Head of Household,Married/Living together,Primary education,Informally employed
16760,No,Urban,Yes,1,24,Female,Head of Household,Married/Living together,Primary education,Informally employed
16761,No,Urban,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
16762,Yes,Urban,Yes,3,36,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
16763,Yes,Rural,Yes,7,50,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
16764,No,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
16765,No,Rural,Yes,7,54,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16766,Yes,Rural,Yes,3,30,Male,Head of Household,Married/Living together,No formal education,Informally employed
16767,No,Rural,Yes,5,25,Male,Child,Single/Never Married,Secondary education,Informally employed
16768,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16769,No,Urban,No,3,16,Male,Head of Household,Divorced/Seperated,Primary education,Other Income
16770,Yes,Urban,Yes,4,36,Female,Other relative,Single/Never Married,Secondary education,Informally employed
16771,No,Urban,No,2,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
16772,No,Rural,Yes,8,23,Male,Parent,Single/Never Married,Primary education,Self employed
16773,No,Rural,Yes,3,20,Female,Spouse,Married/Living together,Secondary education,Other Income
16774,No,Rural,Yes,5,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
16775,No,Rural,Yes,4,46,Male,Head of Household,Widowed,Secondary education,Farming and Fishing
16776,No,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
16777,No,Rural,Yes,5,32,Female,Spouse,Single/Never Married,No formal education,Informally employed
16778,No,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16779,No,Urban,Yes,2,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
16780,No,Urban,Yes,3,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
16781,No,Urban,Yes,2,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
16782,Yes,Urban,Yes,1,61,Female,Head of Household,Widowed,Primary education,Self employed
16783,No,Rural,No,6,49,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
16784,Yes,Rural,Yes,4,68,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16785,No,Urban,Yes,1,56,Female,Head of Household,Widowed,No formal education,Self employed
16786,No,Rural,Yes,5,43,Male,Head of Household,Married/Living together,Primary education,Self employed
16787,Yes,Urban,Yes,3,70,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
16788,No,Rural,No,6,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16789,No,Urban,Yes,3,19,Male,Parent,Divorced/Seperated,Primary education,Self employed
16790,No,Urban,Yes,3,40,Female,Head of Household,Widowed,Primary education,Informally employed
16791,Yes,Rural,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
16792,No,Urban,Yes,1,24,Female,Head of Household,Married/Living together,Primary education,Self employed
16793,No,Urban,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16794,No,Rural,Yes,4,42,Female,Spouse,Married/Living together,No formal education,Informally employed
16795,No,Urban,Yes,1,34,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
16796,No,Rural,No,6,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
16797,No,Rural,Yes,4,23,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
16798,No,Urban,Yes,13,37,Female,Head of Household,Married/Living together,Primary education,Self employed
16799,Yes,Urban,Yes,5,29,Female,Spouse,Married/Living together,Tertiary education,Formally employed Private
16800,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
16801,No,Urban,Yes,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16802,No,Urban,Yes,2,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
16803,No,Rural,No,2,72,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
16804,No,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
16805,No,Rural,Yes,6,30,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
16806,Yes,Rural,Yes,5,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
16807,No,Rural,No,2,21,Male,Child,Single/Never Married,Primary education,Farming and Fishing
16808,No,Rural,No,2,71,Female,Head of Household,Widowed,No formal education,Farming and Fishing
16809,No,Urban,Yes,9,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16810,Yes,Rural,Yes,2,32,Female,Spouse,Married/Living together,Primary education,Self employed
16811,No,Urban,No,4,44,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16812,No,Rural,No,2,60,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
16813,No,Rural,Yes,7,45,Female,Spouse,Married/Living together,Primary education,Informally employed
16814,No,Rural,Yes,1,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing
16815,Yes,Urban,Yes,6,22,Male,Other relative,Single/Never Married,Secondary education,Formally employed Private
16816,No,Rural,Yes,4,20,Female,Child,Single/Never Married,Primary education,Farming and Fishing
16817,Yes,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
16818,No,Urban,No,2,20,Male,Head of Household,Single/Never Married,No formal education,Self employed
16819,No,Rural,Yes,3,24,Male,Child,Single/Never Married,Secondary education,Informally employed
16820,No,Urban,Yes,4,22,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
16821,No,Urban,No,3,49,Female,Spouse,Single/Never Married,Primary education,Self employed
16822,Yes,Rural,Yes,3,82,Male,Head of Household,Single/Never Married,Secondary education,Government Dependent
16823,No,Urban,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16824,No,Urban,Yes,2,74,Male,Head of Household,Single/Never Married,Primary education,Self employed
16825,No,Rural,Yes,6,44,Male,Head of Household,Married/Living together,Secondary education,Self employed
16826,No,Rural,Yes,4,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16827,No,Rural,Yes,5,40,Female,Other relative,Married/Living together,No formal education,Farming and Fishing
16828,No,Urban,No,4,20,Female,Parent,Single/Never Married,Secondary education,Informally employed
16829,No,Rural,No,2,70,Female,Head of Household,Widowed,No formal education,Self employed
16830,No,Rural,No,8,33,Female,Spouse,Married/Living together,Primary education,Informally employed
16831,No,Rural,Yes,2,26,Male,Parent,Divorced/Seperated,Tertiary education,Informally employed
16832,No,Rural,Yes,2,57,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
16833,No,Rural,No,3,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16834,No,Rural,Yes,4,38,Female,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
16835,No,Urban,No,1,29,Female,Head of Household,Single/Never Married,Primary education,Self employed
16836,Yes,Urban,Yes,5,47,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
16837,No,Urban,No,2,19,Female,Spouse,Single/Never Married,Primary education,Informally employed
16838,No,Urban,No,2,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
16839,Yes,Rural,Yes,4,34,Female,Spouse,Single/Never Married,Tertiary education,Self employed
16840,No,Urban,Yes,2,52,Female,Parent,Single/Never Married,Primary education,Self employed
16841,No,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
16842,Yes,Urban,Yes,1,37,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
16843,No,Urban,Yes,4,20,Female,Parent,Married/Living together,No formal education,Informally employed
16844,No,Rural,Yes,1,25,Male,Spouse,Married/Living together,Primary education,Informally employed
16845,No,Rural,No,2,74,Female,Head of Household,Widowed,No formal education,Government Dependent
16846,No,Urban,Yes,3,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
16847,No,Urban,No,1,60,Female,Head of Household,Married/Living together,No formal education,Self employed
16848,No,Rural,Yes,3,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16849,No,Rural,Yes,2,69,Male,Head of Household,Widowed,Primary education,Farming and Fishing
16850,No,Rural,No,1,34,Female,Head of Household,Divorced/Seperated,No formal education,Formally employed Private
16851,No,Rural,Yes,3,24,Female,Spouse,Married/Living together,Primary education,Other Income
16852,No,Urban,Yes,2,49,Female,Head of Household,Widowed,Primary education,Informally employed
16853,No,Rural,Yes,4,29,Male,Spouse,Married/Living together,Primary education,Informally employed
16854,No,Rural,No,1,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
16855,No,Rural,Yes,6,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16856,No,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
16857,No,Rural,Yes,5,34,Male,Head of Household,Married/Living together,Primary education,Self employed
16858,No,Rural,No,2,28,Female,Child,Divorced/Seperated,Primary education,Farming and Fishing
16859,No,Rural,Yes,6,17,Male,Child,Single/Never Married,Primary education,Farming and Fishing
16860,No,Urban,No,2,47,Female,Spouse,Single/Never Married,No formal education,Self employed
16861,Yes,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Self employed
16862,No,Rural,No,3,74,Female,Parent,Widowed,No formal education,Farming and Fishing
16863,No,Rural,Yes,4,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
16864,No,Rural,Yes,5,34,Male,Spouse,Married/Living together,Secondary education,Remittance Dependent
16865,No,Rural,Yes,4,61,Male,Head of Household,Widowed,No formal education,Farming and Fishing
16866,No,Urban,No,2,16,Female,Spouse,Single/Never Married,Primary education,No Income
16867,No,Rural,No,5,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16868,Yes,Rural,Yes,4,55,Male,Child,Married/Living together,Secondary education,Farming and Fishing
16869,No,Rural,No,1,80,Female,Head of Household,Widowed,No formal education,Informally employed
16870,No,Rural,Yes,3,40,Male,Head of Household,Married/Living together,Secondary education,Remittance Dependent
16871,No,Rural,Yes,7,25,Male,Child,Single/Never Married,Primary education,Informally employed
16872,No,Urban,Yes,6,33,Female,Spouse,Married/Living together,Primary education,Self employed
16873,No,Rural,Yes,5,32,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16874,No,Rural,Yes,6,41,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
16875,No,Urban,Yes,2,69,Male,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
16876,No,Rural,Yes,3,69,Male,Head of Household,Married/Living together,No formal education,Other Income
16877,No,Urban,Yes,2,50,Female,Head of Household,Married/Living together,Primary education,Informally employed
16878,No,Rural,Yes,4,16,Male,Child,Single/Never Married,Primary education,Farming and Fishing
16879,Yes,Urban,Yes,5,31,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
16880,No,Rural,Yes,4,40,Female,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
16881,No,Rural,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Informally employed
16882,No,Rural,Yes,6,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
16883,Yes,Rural,Yes,4,30,Female,Spouse,Married/Living together,Primary education,Self employed
16884,Yes,Rural,Yes,2,32,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
16885,No,Urban,Yes,2,20,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
16886,No,Urban,Yes,3,21,Male,Child,Single/Never Married,Vocational/Specialised training,Self employed
16887,No,Rural,No,3,21,Female,Spouse,Married/Living together,Primary education,Informally employed
16888,No,Urban,No,1,28,Male,Head of Household,Single/Never Married,No formal education,Informally employed
16889,No,Urban,Yes,1,22,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
16890,No,Rural,Yes,5,64,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
16891,No,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
16892,No,Urban,No,6,17,Male,Child,Single/Never Married,Primary education,Informally employed
16893,No,Rural,No,4,49,Female,Head of Household,Widowed,No formal education,Informally employed
16894,No,Rural,Yes,3,66,Female,Spouse,Married/Living together,No formal education,Informally employed
16895,No,Rural,No,6,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16896,No,Rural,Yes,10,19,Female,Child,Single/Never Married,Primary education,Remittance Dependent
16897,No,Urban,Yes,1,55,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
16898,No,Rural,No,7,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
16899,No,Urban,Yes,2,34,Female,Spouse,Married/Living together,Primary education,Self employed
16900,No,Rural,Yes,2,21,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16901,No,Rural,No,3,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16902,No,Rural,Yes,9,44,Female,Spouse,Married/Living together,No formal education,Other Income
16903,Yes,Rural,Yes,2,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
16904,No,Urban,No,1,38,Female,Head of Household,Widowed,No formal education,Self employed
16905,No,Urban,No,2,80,Male,Head of Household,Single/Never Married,No formal education,Informally employed
16906,No,Rural,Yes,4,20,Female,Spouse,Married/Living together,No formal education,Informally employed
16907,No,Rural,Yes,5,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
16908,No,Rural,Yes,2,45,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
16909,No,Rural,No,4,18,Male,Parent,Married/Living together,Primary education,Self employed
16910,No,Urban,Yes,4,30,Female,Spouse,Married/Living together,No formal education,Self employed
16911,No,Urban,Yes,4,62,Female,Head of Household,Widowed,Primary education,Self employed
16912,No,Rural,No,2,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent
16913,No,Urban,Yes,2,24,Female,Spouse,Single/Never Married,Primary education,Self employed
16914,No,Rural,Yes,3,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
16915,No,Urban,Yes,5,18,Female,Parent,Single/Never Married,Primary education,Informally employed
16916,Yes,Rural,Yes,1,23,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
16917,No,Rural,Yes,2,75,Male,Head of Household,Widowed,No formal education,Farming and Fishing
16918,No,Urban,Yes,5,36,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
16919,No,Rural,Yes,2,67,Female,Head of Household,Widowed,No formal education,Remittance Dependent
16920,No,Rural,No,6,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
16921,No,Rural,Yes,5,34,Male,Child,Married/Living together,Tertiary education,Farming and Fishing
16922,Yes,Rural,Yes,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
16923,No,Urban,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Informally employed
16924,No,Urban,Yes,2,25,Male,Parent,Single/Never Married,Secondary education,Informally employed
16925,Yes,Urban,Yes,3,32,Female,Spouse,Married/Living together,Secondary education,Self employed
16926,No,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,No formal education,Self employed
16927,No,Rural,Yes,2,25,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
16928,No,Urban,Yes,5,18,Female,Other non-relatives,Single/Never Married,Primary education,Formally employed Private
